标准岗位,标准城市,技能,出现岗位数,岗位内出现率
数据开发工程师,上海,Pandas,9,11.0%
数据开发工程师,上海,Tableau,9,11.0%
数据开发工程师,北京,数据治理,9,13.2%
数据开发工程师,南京,Hadoop,9,25.7%
数据开发工程师,南京,数据仓库,9,25.7%
数据开发工程师,广州,数据治理,9,22.0%
数据开发工程师,杭州,数据建模,9,25.7%
数据开发工程师,武汉,ETL,9,27.3%
数据开发工程师,武汉,Hive,9,27.3%
数据开发工程师,西安,ETL,9,33.3%
数据开发工程师,西安,Flink,9,33.3%
数据开发工程师,西安,MySQL,9,33.3%
数据开发工程师,西安,Spark,9,33.3%
数据开发工程师,重庆,Spark,9,47.4%
数据开发工程师,重庆,数据仓库,9,47.4%
机器学习工程师,深圳,机器学习,9,90.0%
算法工程师,北京,FastAPI,9,1.6%
算法工程师,南京,LangChain,9,3.7%
算法工程师,广州,LangChain,9,2.7%
算法工程师,广州,R,9,2.7%
算法工程师,成都,Git,9,3.5%
算法工程师,成都,R,9,3.5%
算法工程师,杭州,推荐算法,9,2.5%
算法工程师,武汉,Pandas,9,3.6%
算法工程师,武汉,R,9,3.6%
算法工程师,武汉,SQL,9,3.6%
算法工程师,深圳,统计分析,9,1.4%
BI分析师,上海,SQL,8,80.0%
Python开发工程师,上海,MongoDB,8,12.1%
Python开发工程师,北京,LangChain,8,8.7%
Python开发工程师,南京,Flask,8,42.1%
Python开发工程师,广州,FastAPI,8,24.2%
Python开发工程师,广州,Git,8,24.2%
Python开发工程师,广州,PostgreSQL,8,24.2%
Python开发工程师,成都,Docker,8,25.0%
Python开发工程师,武汉,Flask,8,42.1%
Python开发工程师,深圳,Pandas,8,9.4%
Python开发工程师,西安,Redis,8,17.8%
大数据开发工程师,上海,MySQL,8,25.8%
大数据开发工程师,北京,ClickHouse,8,15.1%
大数据开发工程师,南京,Kafka,8,42.1%
大数据开发工程师,广州,HBase,8,22.9%
大数据开发工程师,广州,Oracle,8,22.9%
大数据开发工程师,成都,Flink,8,57.1%
大数据开发工程师,成都,Hive,8,57.1%
大数据开发工程师,成都,Kafka,8,57.1%
大数据开发工程师,成都,Spark,8,57.1%
大数据开发工程师,成都,数据仓库,8,57.1%
大数据开发工程师,武汉,Java,8,40.0%
大数据开发工程师,武汉,Kafka,8,40.0%
大数据开发工程师,武汉,Python,8,40.0%
大数据开发工程师,深圳,Linux,8,18.6%
大数据开发工程师,西安,Kafka,8,26.7%
大数据开发工程师,重庆,Spark,8,72.7%
数据仓库工程师,上海,SQL,8,100.0%
数据分析师,上海,Hadoop,8,4.4%
数据分析师,南京,Power BI,8,13.3%
数据分析师,广州,FineBI,8,5.7%
数据分析师,广州,数据建模,8,5.7%
数据分析师,成都,MySQL,8,8.9%
数据分析师,成都,数据挖掘,8,8.9%
数据分析师,杭州,数据挖掘,8,9.4%
数据分析师,杭州,统计分析,8,9.4%
数据分析师,武汉,Spark,8,12.1%
数据分析师,西安,数据可视化,8,14.0%
数据分析师,西安,统计分析,8,14.0%
数据分析师,重庆,数据挖掘,8,20.5%
数据开发工程师,北京,Doris,8,11.8%
数据开发工程师,广州,DataX,8,19.5%
数据开发工程师,成都,ETL,8,27.6%
数据开发工程师,成都,Spark,8,27.6%
数据开发工程师,杭州,Hadoop,8,22.9%
数据开发工程师,杭州,MySQL,8,22.9%
数据开发工程师,武汉,Flink,8,24.2%
数据开发工程师,武汉,Python,8,24.2%
数据开发工程师,深圳,Spark SQL,8,13.8%
数据开发工程师,重庆,Python,8,42.1%
机器学习工程师,上海,PyTorch,8,61.5%
机器学习工程师,上海,机器学习,8,61.5%
机器学习工程师,北京,TensorFlow,8,50.0%
机器学习工程师,北京,深度学习,8,50.0%
算法工程师,北京,Flink,8,1.4%
算法工程师,北京,Scala,8,1.4%
算法工程师,北京,统计分析,8,1.4%
算法工程师,南京,Pandas,8,3.3%
算法工程师,南京,统计分析,8,3.3%
算法工程师,广州,SQL,8,2.4%
算法工程师,成都,数据挖掘,8,3.1%
算法工程师,杭州,Git,8,2.3%
算法工程师,武汉,NumPy,8,3.2%
算法工程师,武汉,统计分析,8,3.2%
算法工程师,西安,Pandas,8,4.8%
算法工程师,重庆,Docker,8,6.6%
BI分析师,上海,Power BI,7,70.0%
Python开发工程师,上海,大语言模型,7,10.6%
Python开发工程师,北京,CSS,7,7.6%
Python开发工程师,北京,HTML,7,7.6%
Python开发工程师,南京,MySQL,7,36.8%
Python开发工程师,成都,PostgreSQL,7,21.9%
Python开发工程师,成都,大语言模型,7,21.9%
Python开发工程师,杭州,大语言模型,7,28.0%
Python开发工程师,武汉,Git,7,36.8%
Python开发工程师,武汉,Linux,7,36.8%
Python开发工程师,深圳,大语言模型,7,8.2%
Python开发工程师,西安,Docker,7,15.6%
Python开发工程师,西安,FastAPI,7,15.6%
Python开发工程师,西安,PostgreSQL,7,15.6%
Python开发工程师,重庆,Flask,7,58.3%
大数据开发工程师,上海,ETL,7,22.6%
大数据开发工程师,北京,Doris,7,13.2%
大数据开发工程师,北京,PostgreSQL,7,13.2%
大数据开发工程师,北京,机器学习,7,13.2%
大数据开发工程师,南京,Python,7,36.8%
大数据开发工程师,广州,Linux,7,20.0%
大数据开发工程师,广州,PostgreSQL,7,20.0%
大数据开发工程师,成都,Python,7,50.0%
大数据开发工程师,成都,SQL,7,50.0%
大数据开发工程师,成都,数据治理,7,50.0%
大数据开发工程师,武汉,Flink,7,35.0%
大数据开发工程师,武汉,Scala,7,35.0%
大数据开发工程师,武汉,数据治理,7,35.0%
大数据开发工程师,深圳,ClickHouse,7,16.3%
大数据开发工程师,深圳,数据治理,7,16.3%
大数据开发工程师,重庆,Hadoop,7,63.6%
大数据开发工程师,重庆,Java,7,63.6%
数据分析师,上海,ERP,7,3.9%
数据分析师,上海,Oracle,7,3.9%
数据分析师,北京,ETL,7,3.9%
数据分析师,北京,Java,7,3.9%
数据分析师,北京,SAS,7,3.9%
数据分析师,北京,大语言模型,7,3.9%
数据分析师,北京,深度学习,7,3.9%
数据分析师,南京,Pandas,7,11.7%
数据分析师,南京,PyTorch,7,11.7%
数据分析师,南京,数据挖掘,7,11.7%
数据分析师,广州,C++,7,5.0%
数据分析师,广州,Hive,7,5.0%
数据分析师,成都,FineBI,7,7.8%
数据分析师,武汉,统计分析,7,10.6%
数据分析师,深圳,BI,7,6.4%
数据分析师,深圳,FineBI,7,6.4%
数据分析师,深圳,Hive,7,6.4%
数据分析师,西安,机器学习,7,12.3%
数据分析师,重庆,Tableau,7,17.9%
数据开发工程师,上海,PostgreSQL,7,8.5%
数据开发工程师,上海,Power BI,7,8.5%
数据开发工程师,北京,Kettle,7,10.3%
数据开发工程师,北京,PostgreSQL,7,10.3%
数据开发工程师,南京,ETL,7,20.0%
数据开发工程师,成都,Flink,7,24.1%
数据开发工程师,成都,数据建模,7,24.1%
数据开发工程师,杭州,Hive,7,20.0%
数据开发工程师,武汉,Hadoop,7,21.2%
数据开发工程师,武汉,数据建模,7,21.2%
数据开发工程师,深圳,Linux,7,12.1%
数据开发工程师,重庆,Flink,7,36.8%
数据开发工程师,重庆,Hadoop,7,36.8%
数据开发工程师,重庆,Java,7,36.8%
数据开发工程师,重庆,数据建模,7,36.8%
机器学习工程师,杭州,机器学习,7,87.5%
机器学习工程师,深圳,Python,7,70.0%
算法工程师,南京,R,7,2.9%
算法工程师,杭州,scikit-learn,7,2.0%
算法工程师,武汉,Docker,7,2.8%
算法工程师,武汉,LangChain,7,2.8%
算法工程师,武汉,RAG,7,2.8%
算法工程师,西安,NumPy,7,4.2%
Python开发工程师,上海,Java,6,9.1%
Python开发工程师,上海,Pandas,6,9.1%
Python开发工程师,北京,JavaScript,6,6.5%
Python开发工程师,南京,FastAPI,6,31.6%
Python开发工程师,南京,Linux,6,31.6%
Python开发工程师,广州,Pandas,6,18.2%
Python开发工程师,成都,RAG,6,18.8%
Python开发工程师,成都,SQL,6,18.8%
Python开发工程师,杭州,FastAPI,6,24.0%
Python开发工程师,杭州,Redis,6,24.0%
Python开发工程师,武汉,SQL,6,31.6%
Python开发工程师,西安,Pandas,6,13.3%
Python开发工程师,西安,大语言模型,6,13.3%
Python开发工程师,重庆,Git,6,50.0%
Python开发工程师,重庆,MySQL,6,50.0%
大数据开发工程师,上海,Oracle,6,19.4%
大数据开发工程师,上海,Scala,6,19.4%
大数据开发工程师,北京,Redis,6,11.3%
大数据开发工程师,北京,大语言模型,6,11.3%
大数据开发工程师,南京,数据治理,6,31.6%
大数据开发工程师,成都,Linux,6,42.9%
大数据开发工程师,杭州,Flink,6,60.0%
大数据开发工程师,杭州,Hive,6,60.0%
大数据开发工程师,杭州,SQL,6,60.0%
大数据开发工程师,杭州,Spark,6,60.0%
大数据开发工程师,杭州,数据仓库,6,60.0%
大数据开发工程师,武汉,HBase,6,30.0%
大数据开发工程师,深圳,HBase,6,14.0%
大数据开发工程师,深圳,SQL Server,6,14.0%
大数据开发工程师,重庆,Kafka,6,54.5%
大数据开发工程师,重庆,Linux,6,54.5%
大数据开发工程师,重庆,Python,6,54.5%
大数据开发工程师,重庆,SQL,6,54.5%
数据仓库工程师,上海,ETL,6,75.0%
数据仓库工程师,上海,数据仓库,6,75.0%
数据分析师,上海,scikit-learn,6,3.3%
数据分析师,北京,Flink,6,3.3%
数据分析师,北京,Linux,6,3.3%
数据分析师,北京,NLP,6,3.3%
数据分析师,北京,SPSS,6,3.3%
数据分析师,南京,MySQL,6,10.0%
数据分析师,南京,NumPy,6,10.0%
数据分析师,南京,TensorFlow,6,10.0%
数据分析师,南京,scikit-learn,6,10.0%
数据分析师,广州,ERP,6,4.3%
数据分析师,广州,深度学习,6,4.3%
数据分析师,成都,NumPy,6,6.7%
数据分析师,成都,数据仓库,6,6.7%
数据分析师,杭州,FineBI,6,7.1%
数据分析师,武汉,深度学习,6,9.1%
数据分析师,深圳,NumPy,6,5.5%
数据分析师,西安,Power BI,6,10.5%
数据分析师,重庆,NumPy,6,15.4%
数据分析师,重庆,Pandas,6,15.4%
数据分析师,重庆,Power BI,6,15.4%
数据分析师,重庆,数据可视化,6,15.4%
数据开发工程师,上海,Airflow,6,7.3%
数据开发工程师,上海,C++,6,7.3%
数据开发工程师,上海,Elasticsearch,6,7.3%
数据开发工程师,上海,FineBI,6,7.3%
数据开发工程师,上海,MongoDB,6,7.3%
数据开发工程师,上海,Redis,6,7.3%
数据开发工程师,北京,SQL Server,6,8.8%
数据开发工程师,北京,Scala,6,8.8%
数据开发工程师,北京,数据挖掘,6,8.8%
数据开发工程师,南京,Java,6,17.1%
数据开发工程师,南京,Linux,6,17.1%
数据开发工程师,南京,数据治理,6,17.1%
数据开发工程师,广州,Doris,6,14.6%
数据开发工程师,广州,Kafka,6,14.6%
数据开发工程师,广州,Kettle,6,14.6%
数据开发工程师,广州,Scala,6,14.6%
数据开发工程师,成都,Hive,6,20.7%
数据开发工程师,杭州,Linux,6,17.1%
数据开发工程师,武汉,Linux,6,18.2%
数据开发工程师,西安,HBase,6,22.2%
数据开发工程师,西安,Hadoop,6,22.2%
数据开发工程师,西安,Kafka,6,22.2%
数据开发工程师,西安,Oracle,6,22.2%
数据开发工程师,西安,Scala,6,22.2%
数据开发工程师,重庆,ETL,6,31.6%
数据开发工程师,重庆,Hive,6,31.6%
机器学习工程师,上海,深度学习,6,46.2%
机器学习工程师,广州,Python,6,100.0%
机器学习工程师,杭州,Python,6,75.0%
算法工程师,上海,MySQL,6,0.9%
算法工程师,北京,Kubernetes,6,1.1%
算法工程师,北京,PostgreSQL,6,1.1%
算法工程师,北京,Redis,6,1.1%
算法工程师,南京,Prompt Engineering,6,2.5%
算法工程师,南京,数据建模,6,2.5%
算法工程师,广州,FastAPI,6,1.8%
算法工程师,广州,Prompt Engineering,6,1.8%
算法工程师,广州,推荐算法,6,1.8%
算法工程师,杭州,Prompt Engineering,6,1.7%
算法工程师,武汉,scikit-learn,6,2.4%
算法工程师,深圳,Spark,6,0.9%
算法工程师,深圳,scikit-learn,6,0.9%
算法工程师,西安,推荐算法,6,3.6%
BI分析师,上海,数据仓库,5,50.0%
Python开发工程师,上海,机器学习,5,7.6%
Python开发工程师,北京,Kafka,5,5.4%
Python开发工程师,北京,NLP,5,5.4%
Python开发工程师,南京,Django,5,26.3%
Python开发工程师,南京,Git,5,26.3%
Python开发工程师,广州,PyTorch,5,15.2%
Python开发工程师,广州,SQLAlchemy,5,15.2%
Python开发工程师,成都,Django,5,15.6%
Python开发工程师,成都,Kubernetes,5,15.6%
Python开发工程师,杭州,LangChain,5,20.0%
Python开发工程师,武汉,Django,5,26.3%
Python开发工程师,武汉,Docker,5,26.3%
Python开发工程师,武汉,FastAPI,5,26.3%
Python开发工程师,武汉,MySQL,5,26.3%
Python开发工程师,深圳,C++,5,5.9%
Python开发工程师,深圳,Java,5,5.9%
Python开发工程师,深圳,NumPy,5,5.9%
Python开发工程师,深圳,PyTorch,5,5.9%
Python开发工程师,深圳,TensorFlow,5,5.9%
Python开发工程师,深圳,机器学习,5,5.9%
Python开发工程师,西安,Java,5,11.1%
Python开发工程师,西安,MongoDB,5,11.1%
Python开发工程师,西安,Oracle,5,11.1%
Python开发工程师,西安,PyTorch,5,11.1%
Python开发工程师,重庆,FastAPI,5,41.7%
Python开发工程师,重庆,SQL,5,41.7%
大数据开发工程师,上海,数据可视化,5,16.1%
大数据开发工程师,上海,数据建模,5,16.1%
大数据开发工程师,北京,Sqoop,5,9.4%
大数据开发工程师,北京,数据挖掘,5,9.4%
大数据开发工程师,南京,ETL,5,26.3%
大数据开发工程师,南京,MySQL,5,26.3%
大数据开发工程师,南京,Scala,5,26.3%
大数据开发工程师,南京,数据建模,5,26.3%
大数据开发工程师,广州,Doris,5,14.3%
大数据开发工程师,广州,Spring Boot,5,14.3%
大数据开发工程师,成都,HBase,5,35.7%
大数据开发工程师,成都,Redis,5,35.7%
大数据开发工程师,杭州,Hadoop,5,50.0%
大数据开发工程师,杭州,Java,5,50.0%
大数据开发工程师,杭州,Python,5,50.0%
大数据开发工程师,武汉,ETL,5,25.0%
大数据开发工程师,武汉,Oracle,5,25.0%
大数据开发工程师,深圳,Doris,5,11.6%
大数据开发工程师,深圳,PostgreSQL,5,11.6%
大数据开发工程师,深圳,StarRocks,5,11.6%
大数据开发工程师,西安,Redis,5,16.7%
大数据开发工程师,重庆,Flink,5,45.5%
数据仓库工程师,上海,Hive,5,62.5%
数据仓库工程师,上海,Java,5,62.5%
数据仓库工程师,上海,Python,5,62.5%
数据仓库工程师,上海,数据治理,5,62.5%
数据仓库工程师,成都,Flink,5,100.0%
数据仓库工程师,成都,Hadoop,5,100.0%
数据仓库工程师,成都,Hive,5,100.0%
数据仓库工程师,成都,Python,5,100.0%
数据仓库工程师,成都,SQL,5,100.0%
数据仓库工程师,成都,Spark,5,100.0%
数据仓库工程师,成都,数据仓库,5,100.0%
数据仓库工程师,深圳,数据仓库,5,100.0%
数据分析师,上海,Hive,5,2.8%
数据分析师,上海,SAS,5,2.8%
数据分析师,上海,SPSS,5,2.8%
数据分析师,上海,深度学习,5,2.8%
数据分析师,北京,C++,5,2.8%
数据分析师,南京,FineBI,5,8.3%
数据分析师,南京,深度学习,5,8.3%
数据分析师,广州,MATLAB,5,3.5%
数据分析师,广州,Spark,5,3.5%
数据分析师,广州,scikit-learn,5,3.5%
数据分析师,广州,数据治理,5,3.5%
数据分析师,成都,大语言模型,5,5.6%
数据分析师,杭州,NumPy,5,5.9%
数据分析师,杭州,Pandas,5,5.9%
数据分析师,杭州,数据仓库,5,5.9%
数据分析师,杭州,数据建模,5,5.9%
数据分析师,杭州,机器学习,5,5.9%
数据分析师,武汉,数据仓库,5,7.6%
数据分析师,深圳,Hadoop,5,4.6%
数据分析师,深圳,SPSS,5,4.6%
数据分析师,西安,Tableau,5,8.8%
数据分析师,西安,数据仓库,5,8.8%
数据分析师,西安,数据建模,5,8.8%
数据分析师,重庆,数据建模,5,12.8%
数据分析师,重庆,机器学习,5,12.8%
数据开发工程师,上海,Doris,5,6.1%
数据开发工程师,上海,FineReport,5,6.1%
数据开发工程师,上海,数据可视化,5,6.1%
数据开发工程师,上海,机器学习,5,6.1%
数据开发工程师,北京,Spark SQL,5,7.4%
数据开发工程师,北京,数据可视化,5,7.4%
数据开发工程师,成都,Linux,5,17.2%
数据开发工程师,成都,MySQL,5,17.2%
数据开发工程师,成都,Oracle,5,17.2%
数据开发工程师,成都,数据治理,5,17.2%
数据开发工程师,武汉,Kafka,5,15.2%
数据开发工程师,深圳,ClickHouse,5,8.6%
数据开发工程师,深圳,Scala,5,8.6%
数据开发工程师,西安,Linux,5,18.5%
数据开发工程师,重庆,Linux,5,26.3%
数据开发工程师,重庆,MySQL,5,26.3%
数据开发工程师,重庆,Oracle,5,26.3%
机器学习工程师,上海,TensorFlow,5,38.5%
机器学习工程师,北京,C++,5,31.2%
机器学习工程师,成都,Python,5,100.0%
机器学习工程师,深圳,深度学习,5,50.0%
算法工程师,上海,FastAPI,5,0.7%
算法工程师,广州,Git,5,1.5%
算法工程师,广州,Kubernetes,5,1.5%
算法工程师,广州,Spark,5,1.5%
算法工程师,成都,NumPy,5,1.9%
算法工程师,杭州,R,5,1.4%
算法工程师,杭州,SQL,5,1.4%
算法工程师,武汉,Git,5,2.0%
算法工程师,武汉,Kubernetes,5,2.0%
算法工程师,武汉,Spark,5,2.0%
算法工程师,武汉,数据建模,5,2.0%
算法工程师,西安,Docker,5,3.0%
算法工程师,西安,数据挖掘,5,3.0%
算法工程师,重庆,Git,5,4.1%
算法工程师,重庆,NumPy,5,4.1%
算法工程师,重庆,Pandas,5,4.1%
算法工程师,重庆,Prompt Engineering,5,4.1%
算法工程师,重庆,SQL,5,4.1%
算法工程师,重庆,scikit-learn,5,4.1%
算法工程师,重庆,数据挖掘,5,4.1%
BI分析师,上海,ETL,4,40.0%
BI分析师,上海,Python,4,40.0%
BI分析师,上海,Tableau,4,40.0%
BI分析师,北京,Power BI,4,100.0%
BI分析师,广州,SQL,4,80.0%
Python开发工程师,上海,NumPy,4,6.1%
Python开发工程师,上海,PyTorch,4,6.1%
Python开发工程师,上海,RAG,4,6.1%
Python开发工程师,上海,SQLAlchemy,4,6.1%
Python开发工程师,上海,TensorFlow,4,6.1%
Python开发工程师,北京,Matplotlib,4,4.3%
Python开发工程师,北京,Oracle,4,4.3%
Python开发工程师,北京,React,4,4.3%
Python开发工程师,北京,SQLAlchemy,4,4.3%
Python开发工程师,北京,Vue,4,4.3%
Python开发工程师,南京,NumPy,4,21.1%
Python开发工程师,南京,PyTorch,4,21.1%
Python开发工程师,南京,深度学习,4,21.1%
Python开发工程师,广州,Django,4,12.1%
Python开发工程师,广州,Kubernetes,4,12.1%
Python开发工程师,广州,LangChain,4,12.1%
Python开发工程师,成都,Java,4,12.5%
Python开发工程师,杭州,Django,4,16.0%
Python开发工程师,杭州,Docker,4,16.0%
Python开发工程师,杭州,Git,4,16.0%
Python开发工程师,杭州,Java,4,16.0%
Python开发工程师,杭州,Prompt Engineering,4,16.0%
Python开发工程师,杭州,RAG,4,16.0%
Python开发工程师,杭州,深度学习,4,16.0%
Python开发工程师,武汉,Pandas,4,21.1%
Python开发工程师,深圳,Kafka,4,4.7%
Python开发工程师,深圳,Kubernetes,4,4.7%
Python开发工程师,西安,TensorFlow,4,8.9%
Python开发工程师,西安,机器学习,4,8.9%
Python开发工程师,重庆,Docker,4,33.3%
Python开发工程师,重庆,Linux,4,33.3%
大数据开发工程师,北京,Flask,4,7.5%
大数据开发工程师,北京,JavaScript,4,7.5%
大数据开发工程师,北京,MongoDB,4,7.5%
大数据开发工程师,北京,Spring Boot,4,7.5%
大数据开发工程师,南京,Oracle,4,21.1%
大数据开发工程师,成都,ETL,4,28.6%
大数据开发工程师,成都,Scala,4,28.6%
大数据开发工程师,杭州,ETL,4,40.0%
大数据开发工程师,杭州,Kafka,4,40.0%
大数据开发工程师,武汉,MySQL,4,20.0%
大数据开发工程师,武汉,Sqoop,4,20.0%
大数据开发工程师,深圳,Spring Boot,4,9.3%
大数据开发工程师,深圳,大语言模型,4,9.3%
大数据开发工程师,深圳,机器学习,4,9.3%
大数据开发工程师,西安,ClickHouse,4,13.3%
大数据开发工程师,重庆,Docker,4,36.4%
大数据开发工程师,重庆,ETL,4,36.4%
大数据开发工程师,重庆,Hive,4,36.4%
大数据开发工程师,重庆,MySQL,4,36.4%
大数据开发工程师,重庆,Redis,4,36.4%
大数据开发工程师,重庆,Scala,4,36.4%
大数据开发工程师,重庆,数据仓库,4,36.4%
数据仓库工程师,上海,数据建模,4,50.0%
数据仓库工程师,北京,数据仓库,4,100.0%
数据仓库工程师,广州,ETL,4,100.0%
数据仓库工程师,广州,SQL,4,100.0%
数据仓库工程师,成都,Hive SQL,4,80.0%
数据仓库工程师,深圳,SQL,4,80.0%
数据分析师,上海,ETL,4,2.2%
数据分析师,上海,VBA,4,2.2%
数据分析师,北京,BI,4,2.2%
数据分析师,南京,C++,4,6.7%
数据分析师,南京,Oracle,4,6.7%
数据分析师,南京,大语言模型,4,6.7%
数据分析师,广州,Java,4,2.8%
数据分析师,广州,Oracle,4,2.8%
数据分析师,广州,数据仓库,4,2.8%
数据分析师,成都,Java,4,4.4%
数据分析师,成都,Matplotlib,4,4.4%
数据分析师,成都,TensorFlow,4,4.4%
数据分析师,成都,scikit-learn,4,4.4%
数据分析师,杭州,Hive,4,4.7%
数据分析师,杭州,Java,4,4.7%
数据分析师,武汉,MATLAB,4,6.1%
数据分析师,深圳,ERP,4,3.7%
数据分析师,深圳,ETL,4,3.7%
数据分析师,深圳,MySQL,4,3.7%
数据分析师,深圳,TensorFlow,4,3.7%
数据分析师,深圳,scikit-learn,4,3.7%
数据分析师,西安,BI,4,7.0%
数据分析师,西安,Pandas,4,7.0%
数据分析师,西安,数据挖掘,4,7.0%
数据开发工程师,上海,Kettle,4,4.9%
数据开发工程师,上海,SQL Server,4,4.9%
数据开发工程师,北京,Flume,4,5.9%
数据开发工程师,北京,数据湖,4,5.9%
数据开发工程师,北京,机器学习,4,5.9%
数据开发工程师,南京,SQL Server,4,11.4%
数据开发工程师,南京,数据建模,4,11.4%
数据开发工程师,广州,Airflow,4,9.8%
数据开发工程师,广州,HBase,4,9.8%
数据开发工程师,广州,PostgreSQL,4,9.8%
数据开发工程师,广州,SQL Server,4,9.8%
数据开发工程师,成都,NumPy,4,13.8%
数据开发工程师,成都,Pandas,4,13.8%
数据开发工程师,成都,Power BI,4,13.8%
数据开发工程师,成都,Scala,4,13.8%
数据开发工程师,杭州,Kafka,4,11.4%
数据开发工程师,武汉,HBase,4,12.1%
数据开发工程师,深圳,Airflow,4,6.9%
数据开发工程师,深圳,DataX,4,6.9%
数据开发工程师,深圳,Doris,4,6.9%
数据开发工程师,深圳,Git,4,6.9%
数据开发工程师,深圳,HBase,4,6.9%
数据开发工程师,深圳,Hive SQL,4,6.9%
数据开发工程师,深圳,PostgreSQL,4,6.9%
数据开发工程师,深圳,数据可视化,4,6.9%
数据开发工程师,深圳,数据挖掘,4,6.9%
数据开发工程师,深圳,机器学习,4,6.9%
数据开发工程师,西安,Doris,4,14.8%
数据开发工程师,西安,数据治理,4,14.8%
数据开发工程师,重庆,大语言模型,4,21.1%
数据开发工程师,重庆,数据治理,4,21.1%
机器学习工程师,上海,C++,4,30.8%
机器学习工程师,上海,scikit-learn,4,30.8%
机器学习工程师,成都,机器学习,4,80.0%
机器学习工程师,杭州,PyTorch,4,50.0%
机器学习工程师,西安,Python,4,100.0%
算法工程师,上海,Kubernetes,4,0.6%
算法工程师,上海,Redis,4,0.6%
算法工程师,上海,Scala,4,0.6%
算法工程师,北京,MaxCompute,4,0.7%
算法工程师,北京,数据仓库,4,0.7%
算法工程师,北京,数据治理,4,0.7%
算法工程师,南京,MySQL,4,1.6%
算法工程师,南京,Spark,4,1.6%
算法工程师,南京,scikit-learn,4,1.6%
算法工程师,成都,LangChain,4,1.6%
算法工程师,成都,Prompt Engineering,4,1.6%
算法工程师,成都,统计分析,4,1.6%
算法工程师,杭州,Docker,4,1.1%
算法工程师,杭州,Hadoop,4,1.1%
算法工程师,杭州,React,4,1.1%
算法工程师,杭州,Transformers,4,1.1%
算法工程师,杭州,数据建模,4,1.1%
算法工程师,武汉,数据挖掘,4,1.6%
算法工程师,武汉,阿里云,4,1.6%
算法工程师,深圳,ERP,4,0.6%
算法工程师,深圳,Kubernetes,4,0.6%
算法工程师,深圳,MySQL,4,0.6%
算法工程师,深圳,数据治理,4,0.6%
算法工程师,西安,LangChain,4,2.4%
算法工程师,重庆,Flask,4,3.3%
算法工程师,重庆,LangChain,4,3.3%
BI分析师,上海,数据可视化,3,30.0%
BI分析师,北京,ETL,3,75.0%
BI分析师,北京,数据可视化,3,75.0%
BI分析师,北京,数据建模,3,75.0%
Python开发工程师,上海,Elasticsearch,3,4.5%
Python开发工程师,上海,IP,3,4.5%
Python开发工程师,上海,Kubernetes,3,4.5%
Python开发工程师,上海,LangChain,3,4.5%
Python开发工程师,上海,Oracle,3,4.5%
Python开发工程师,上海,TCP,3,4.5%
Python开发工程师,北京,Elasticsearch,3,3.3%
Python开发工程师,北京,MATLAB,3,3.3%
Python开发工程师,北京,Nginx,3,3.3%
Python开发工程师,北京,Prompt Engineering,3,3.3%
Python开发工程师,北京,Spark,3,3.3%
Python开发工程师,北京,数据建模,3,3.3%
Python开发工程师,南京,Docker,3,15.8%
Python开发工程师,南京,MongoDB,3,15.8%
Python开发工程师,南京,Pandas,3,15.8%
Python开发工程师,南京,PostgreSQL,3,15.8%
