标准岗位,标准城市,技能,出现岗位数,岗位内出现率
数据仓库工程师,杭州,Java,1,50.0%
数据仓库工程师,杭州,Kafka,1,50.0%
数据仓库工程师,杭州,Spark,1,50.0%
数据仓库工程师,武汉,ETL,1,100.0%
数据仓库工程师,武汉,Flink,1,100.0%
数据仓库工程师,武汉,Hadoop,1,100.0%
数据仓库工程师,武汉,Hive,1,100.0%
数据仓库工程师,武汉,Kafka,1,100.0%
数据仓库工程师,武汉,SQL,1,100.0%
数据仓库工程师,武汉,Spark,1,100.0%
数据仓库工程师,武汉,数据仓库,1,100.0%
数据仓库工程师,武汉,数据建模,1,100.0%
数据仓库工程师,武汉,数据治理,1,100.0%
数据仓库工程师,深圳,Airflow,1,20.0%
数据仓库工程师,深圳,HBase,1,20.0%
数据仓库工程师,深圳,Java,1,20.0%
数据仓库工程师,深圳,Python,1,20.0%
数据仓库工程师,深圳,Scala,1,20.0%
数据仓库工程师,深圳,Tableau,1,20.0%
数据仓库工程师,深圳,数据治理,1,20.0%
数据分析师,上海,A,1,0.6%
数据分析师,上海,Airflow,1,0.6%
数据分析师,上海,B测试,1,0.6%
数据分析师,上海,Git,1,0.6%
数据分析师,上海,HBase,1,0.6%
数据分析师,上海,MongoDB,1,0.6%
数据分析师,上海,NLP,1,0.6%
数据分析师,上海,Neo4j,1,0.6%
数据分析师,上海,PostgreSQL,1,0.6%
数据分析师,上海,SQL Server,1,0.6%
数据分析师,上海,Scala,1,0.6%
数据分析师,上海,Spark SQL,1,0.6%
数据分析师,北京,DataX,1,0.6%
数据分析师,北京,Django,1,0.6%
数据分析师,北京,Doris,1,0.6%
数据分析师,北京,FastAPI,1,0.6%
数据分析师,北京,FineReport,1,0.6%
数据分析师,北京,Flask,1,0.6%
数据分析师,北京,Flume,1,0.6%
数据分析师,北京,Kafka,1,0.6%
数据分析师,北京,MaxCompute,1,0.6%
数据分析师,北京,MongoDB,1,0.6%
数据分析师,北京,Nginx,1,0.6%
数据分析师,北京,Plotly,1,0.6%
数据分析师,北京,PyTorch,1,0.6%
数据分析师,北京,RAG,1,0.6%
数据分析师,北京,Redis,1,0.6%
数据分析师,北京,Spring Boot,1,0.6%
数据分析师,北京,Sqoop,1,0.6%
数据分析师,北京,Trino,1,0.6%
数据分析师,北京,VBA,1,0.6%
数据分析师,北京,数据湖,1,0.6%
数据分析师,南京,BI,1,1.7%
数据分析师,南京,ECharts,1,1.7%
数据分析师,南京,Hadoop,1,1.7%
数据分析师,南京,LangChain,1,1.7%
数据分析师,南京,NLP,1,1.7%
数据分析师,南京,Spark SQL,1,1.7%
数据分析师,南京,Spring Boot,1,1.7%
数据分析师,南京,Transformers,1,1.7%
数据分析师,南京,Vue,1,1.7%
数据分析师,南京,计算机视觉,1,1.7%
数据分析师,广州,Airflow,1,0.7%
数据分析师,广州,ClickHouse,1,0.7%
数据分析师,广州,ECharts,1,0.7%
数据分析师,广州,ETL,1,0.7%
数据分析师,广州,Hive SQL,1,0.7%
数据分析师,广州,JavaScript,1,0.7%
数据分析师,广州,Jenkins,1,0.7%
数据分析师,广州,LangChain,1,0.7%
数据分析师,广州,Linux,1,0.7%
数据分析师,广州,NLP,1,0.7%
数据分析师,广州,Power Query,1,0.7%
数据分析师,广州,Prompt Engineering,1,0.7%
数据分析师,成都,C++,1,1.1%
数据分析师,成都,ClickHouse,1,1.1%
数据分析师,成都,ECharts,1,1.1%
数据分析师,成都,Flink,1,1.1%
数据分析师,成都,HBase,1,1.1%
数据分析师,成都,Hive,1,1.1%
数据分析师,成都,JavaScript,1,1.1%
数据分析师,成都,Kafka,1,1.1%
数据分析师,成都,Kubernetes,1,1.1%
数据分析师,成都,Linux,1,1.1%
数据分析师,成都,MATLAB,1,1.1%
数据分析师,成都,MaxCompute,1,1.1%
数据分析师,成都,OceanBase,1,1.1%
数据分析师,成都,Quick BI,1,1.1%
数据分析师,成都,RAG,1,1.1%
数据分析师,成都,Redis,1,1.1%
数据分析师,成都,TypeScript,1,1.1%
数据分析师,成都,推荐算法,1,1.1%
数据分析师,成都,阿里云,1,1.1%
数据分析师,杭州,BI,1,1.2%
数据分析师,杭州,C++,1,1.2%
数据分析师,杭州,Docker,1,1.2%
数据分析师,杭州,Doris,1,1.2%
数据分析师,杭州,FineReport,1,1.2%
数据分析师,杭州,Flink,1,1.2%
数据分析师,杭州,Hive SQL,1,1.2%
数据分析师,杭州,Kafka,1,1.2%
数据分析师,杭州,Kettle,1,1.2%
数据分析师,杭州,Kubernetes,1,1.2%
数据分析师,杭州,Linux,1,1.2%
数据分析师,杭州,MATLAB,1,1.2%
数据分析师,杭州,Matplotlib,1,1.2%
数据分析师,杭州,Prompt Engineering,1,1.2%
数据分析师,杭州,PyTorch,1,1.2%
数据分析师,杭州,SAS,1,1.2%
数据分析师,杭州,StarRocks,1,1.2%
数据分析师,杭州,TensorFlow,1,1.2%
数据分析师,杭州,scikit-learn,1,1.2%
数据分析师,杭州,数据治理,1,1.2%
数据分析师,杭州,阿里云,1,1.2%
数据分析师,武汉,DataX,1,1.5%
数据分析师,武汉,FineReport,1,1.5%
数据分析师,武汉,Flink,1,1.5%
数据分析师,武汉,Oracle,1,1.5%
数据分析师,武汉,Quick BI,1,1.5%
数据分析师,武汉,Redis,1,1.5%
数据分析师,武汉,Spring Boot,1,1.5%
数据分析师,武汉,大语言模型,1,1.5%
数据分析师,武汉,数据治理,1,1.5%
数据分析师,深圳,FastAPI,1,0.9%
数据分析师,深圳,Flask,1,0.9%
数据分析师,深圳,Flink,1,0.9%
数据分析师,深圳,MATLAB,1,0.9%
数据分析师,深圳,Power Query,1,0.9%
数据分析师,深圳,PySpark,1,0.9%
数据分析师,深圳,SQL Server,1,0.9%
数据分析师,深圳,Scala,1,0.9%
数据分析师,深圳,Spark SQL,1,0.9%
数据分析师,深圳,Superset,1,0.9%
数据分析师,深圳,Vue,1,0.9%
数据分析师,深圳,腾讯云,1,0.9%
数据分析师,深圳,达梦数据库,1,0.9%
数据分析师,西安,Doris,1,1.8%
数据分析师,西安,Elasticsearch,1,1.8%
数据分析师,西安,FastAPI,1,1.8%
数据分析师,西安,FineBI,1,1.8%
数据分析师,西安,HBase,1,1.8%
数据分析师,西安,Java,1,1.8%
数据分析师,西安,Kafka,1,1.8%
数据分析师,西安,Linux,1,1.8%
数据分析师,西安,Oracle,1,1.8%
数据分析师,西安,Power Query,1,1.8%
数据分析师,西安,PyTorch,1,1.8%
数据分析师,西安,Quick BI,1,1.8%
数据分析师,西安,RAG,1,1.8%
数据分析师,西安,Redis,1,1.8%
数据分析师,西安,SPSS,1,1.8%
数据分析师,西安,SQL Server,1,1.8%
数据分析师,西安,Seaborn,1,1.8%
数据分析师,西安,Spark SQL,1,1.8%
数据分析师,西安,TensorFlow,1,1.8%
数据分析师,西安,数据湖,1,1.8%
数据分析师,重庆,ClickHouse,1,2.6%
数据分析师,重庆,ERP,1,2.6%
数据分析师,重庆,Flink,1,2.6%
数据分析师,重庆,Linux,1,2.6%
数据分析师,重庆,Matplotlib,1,2.6%
数据分析师,重庆,MySQL,1,2.6%
数据分析师,重庆,Oracle,1,2.6%
数据分析师,重庆,SAS,1,2.6%
数据分析师,重庆,Seaborn,1,2.6%
数据分析师,重庆,Spark SQL,1,2.6%
数据分析师,重庆,大语言模型,1,2.6%
数据开发工程师,上海,BI,1,1.2%
数据开发工程师,上海,ERP,1,1.2%
数据开发工程师,上海,Git,1,1.2%
数据开发工程师,上海,Hive SQL,1,1.2%
数据开发工程师,上海,Jenkins,1,1.2%
数据开发工程师,上海,Kubernetes,1,1.2%
数据开发工程师,上海,Matplotlib,1,1.2%
数据开发工程师,上海,MaxCompute,1,1.2%
数据开发工程师,上海,NLP,1,1.2%
数据开发工程师,上海,OceanBase,1,1.2%
数据开发工程师,上海,PyTorch,1,1.2%
数据开发工程师,上海,Quick BI,1,1.2%
数据开发工程师,上海,RAG,1,1.2%
数据开发工程师,上海,React,1,1.2%
数据开发工程师,上海,Seaborn,1,1.2%
数据开发工程师,上海,Sqoop,1,1.2%
数据开发工程师,上海,TensorFlow,1,1.2%
数据开发工程师,上海,Trino,1,1.2%
数据开发工程师,上海,Vue,1,1.2%
数据开发工程师,上海,阿里云,1,1.2%
数据开发工程师,北京,CSS,1,1.5%
数据开发工程师,北京,DataX,1,1.5%
数据开发工程师,北京,Django,1,1.5%
数据开发工程师,北京,ECharts,1,1.5%
数据开发工程师,北京,FastAPI,1,1.5%
数据开发工程师,北京,FineReport,1,1.5%
数据开发工程师,北京,Flask,1,1.5%
数据开发工程师,北京,HTML,1,1.5%
数据开发工程师,北京,JavaScript,1,1.5%
数据开发工程师,北京,MATLAB,1,1.5%
数据开发工程师,北京,MongoDB,1,1.5%
数据开发工程师,北京,Nginx,1,1.5%
数据开发工程师,北京,NumPy,1,1.5%
数据开发工程师,北京,OceanBase,1,1.5%
数据开发工程师,北京,Power BI,1,1.5%
数据开发工程师,北京,PySpark,1,1.5%
数据开发工程师,北京,PyTorch,1,1.5%
数据开发工程师,北京,Quick BI,1,1.5%
数据开发工程师,北京,React,1,1.5%
数据开发工程师,北京,Sqoop,1,1.5%
数据开发工程师,北京,StarRocks,1,1.5%
数据开发工程师,北京,Superset,1,1.5%
数据开发工程师,北京,TensorFlow,1,1.5%
数据开发工程师,北京,TiDB,1,1.5%
数据开发工程师,北京,Trino,1,1.5%
数据开发工程师,北京,Vue,1,1.5%
数据开发工程师,北京,达梦数据库,1,1.5%
数据开发工程师,南京,C++,1,2.9%
数据开发工程师,南京,Docker,1,2.9%
数据开发工程师,南京,Excel,1,2.9%
数据开发工程师,南京,FineReport,1,2.9%
数据开发工程师,南京,Git,1,2.9%
数据开发工程师,南京,Kubernetes,1,2.9%
数据开发工程师,南京,Neo4j,1,2.9%
数据开发工程师,南京,Power BI,1,2.9%
数据开发工程师,南京,Spark SQL,1,2.9%
数据开发工程师,南京,Spring Boot,1,2.9%
数据开发工程师,南京,Superset,1,2.9%
数据开发工程师,南京,Tableau,1,2.9%
数据开发工程师,南京,Vue,1,2.9%
数据开发工程师,南京,阿里云,1,2.9%
数据开发工程师,广州,C++,1,2.4%
数据开发工程师,广州,Docker,1,2.4%
数据开发工程师,广州,Excel,1,2.4%
数据开发工程师,广州,Flume,1,2.4%
数据开发工程师,广州,R,1,2.4%
数据开发工程师,广州,Spark SQL,1,2.4%
数据开发工程师,广州,Spring Boot,1,2.4%
数据开发工程师,广州,Sqoop,1,2.4%
数据开发工程师,广州,Superset,1,2.4%
数据开发工程师,广州,数据可视化,1,2.4%
数据开发工程师,广州,数据湖,1,2.4%
数据开发工程师,广州,机器学习,1,2.4%
数据开发工程师,广州,计算机视觉,1,2.4%
数据开发工程师,成都,AWS,1,3.4%
数据开发工程师,成都,ClickHouse,1,3.4%
数据开发工程师,成都,Doris,1,3.4%
数据开发工程师,成都,Flume,1,3.4%
数据开发工程师,成都,HBase,1,3.4%
数据开发工程师,成都,Kafka,1,3.4%
数据开发工程师,成都,LangChain,1,3.4%
数据开发工程师,成都,Neo4j,1,3.4%
数据开发工程师,成都,PyTorch,1,3.4%
数据开发工程师,成都,SQL Server,1,3.4%
数据开发工程师,成都,TensorFlow,1,3.4%
数据开发工程师,成都,Trino,1,3.4%
数据开发工程师,成都,数据可视化,1,3.4%
数据开发工程师,成都,数据挖掘,1,3.4%
数据开发工程师,成都,数据湖,1,3.4%
数据开发工程师,成都,深度学习,1,3.4%
数据开发工程师,杭州,Airflow,1,2.9%
数据开发工程师,杭州,Azure,1,2.9%
数据开发工程师,杭州,ClickHouse,1,2.9%
数据开发工程师,杭州,DataX,1,2.9%
数据开发工程师,杭州,IP,1,2.9%
数据开发工程师,杭州,MaxCompute,1,2.9%
数据开发工程师,杭州,MongoDB,1,2.9%
数据开发工程师,杭州,Neo4j,1,2.9%
数据开发工程师,杭州,OceanBase,1,2.9%
数据开发工程师,杭州,Power BI,1,2.9%
数据开发工程师,杭州,PyTorch,1,2.9%
数据开发工程师,杭州,SQL Server,1,2.9%
数据开发工程师,杭州,Spark SQL,1,2.9%
数据开发工程师,杭州,TCP,1,2.9%
数据开发工程师,杭州,TensorFlow,1,2.9%
数据开发工程师,杭州,Trino,1,2.9%
数据开发工程师,杭州,华为云,1,2.9%
数据开发工程师,杭州,机器学习,1,2.9%
数据开发工程师,杭州,深度学习,1,2.9%
数据开发工程师,武汉,AWS,1,3.0%
数据开发工程师,武汉,Airflow,1,3.0%
数据开发工程师,武汉,Azure,1,3.0%
数据开发工程师,武汉,BI,1,3.0%
数据开发工程师,武汉,DataX,1,3.0%
数据开发工程师,武汉,ERP,1,3.0%
数据开发工程师,武汉,Elasticsearch,1,3.0%
数据开发工程师,武汉,Excel,1,3.0%
数据开发工程师,武汉,FineBI,1,3.0%
数据开发工程师,武汉,FineReport,1,3.0%
数据开发工程师,武汉,Hive SQL,1,3.0%
数据开发工程师,武汉,IP,1,3.0%
数据开发工程师,武汉,LangChain,1,3.0%
数据开发工程师,武汉,MongoDB,1,3.0%
数据开发工程师,武汉,NLP,1,3.0%
数据开发工程师,武汉,Nginx,1,3.0%
数据开发工程师,武汉,NumPy,1,3.0%
数据开发工程师,武汉,Pandas,1,3.0%
数据开发工程师,武汉,RAG,1,3.0%
数据开发工程师,武汉,Spark SQL,1,3.0%
数据开发工程师,武汉,TCP,1,3.0%
数据开发工程师,武汉,scikit-learn,1,3.0%
数据开发工程师,武汉,华为云,1,3.0%
数据开发工程师,武汉,大语言模型,1,3.0%
数据开发工程师,武汉,推荐算法,1,3.0%
数据开发工程师,武汉,机器学习,1,3.0%
数据开发工程师,武汉,腾讯云,1,3.0%
数据开发工程师,深圳,C++,1,1.7%
数据开发工程师,深圳,ERP,1,1.7%
数据开发工程师,深圳,Elasticsearch,1,1.7%
数据开发工程师,深圳,Flume,1,1.7%
数据开发工程师,深圳,JavaScript,1,1.7%
数据开发工程师,深圳,MaxCompute,1,1.7%
数据开发工程师,深圳,NumPy,1,1.7%
数据开发工程师,深圳,OceanBase,1,1.7%
数据开发工程师,深圳,Power Query,1,1.7%
数据开发工程师,深圳,Prompt Engineering,1,1.7%
数据开发工程师,深圳,PySpark,1,1.7%
数据开发工程师,深圳,R,1,1.7%
数据开发工程师,深圳,Spring Boot,1,1.7%
数据开发工程师,深圳,Superset,1,1.7%
数据开发工程师,深圳,TensorFlow,1,1.7%
数据开发工程师,深圳,Transformers,1,1.7%
数据开发工程师,深圳,华为云,1,1.7%
数据开发工程师,深圳,腾讯云,1,1.7%
数据开发工程师,西安,CSS,1,3.7%
数据开发工程师,西安,DataX,1,3.7%
数据开发工程师,西安,Django,1,3.7%
数据开发工程师,西安,ERP,1,3.7%
数据开发工程师,西安,Excel,1,3.7%
数据开发工程师,西安,FastAPI,1,3.7%
数据开发工程师,西安,Flask,1,3.7%
数据开发工程师,西安,Flume,1,3.7%
数据开发工程师,西安,HTML,1,3.7%
数据开发工程师,西安,JavaScript,1,3.7%
数据开发工程师,西安,Kettle,1,3.7%
数据开发工程师,西安,LangChain,1,3.7%
数据开发工程师,西安,Neo4j,1,3.7%
数据开发工程师,西安,NumPy,1,3.7%
数据开发工程师,西安,Pandas,1,3.7%
数据开发工程师,西安,Prompt Engineering,1,3.7%
数据开发工程师,西安,PyTorch,1,3.7%
数据开发工程师,西安,R,1,3.7%
数据开发工程师,西安,RAG,1,3.7%
数据开发工程师,西安,SAS,1,3.7%
数据开发工程师,西安,Sqoop,1,3.7%
数据开发工程师,西安,StarRocks,1,3.7%
数据开发工程师,西安,TensorFlow,1,3.7%
数据开发工程师,西安,数据挖掘,1,3.7%
数据开发工程师,西安,深度学习,1,3.7%
数据开发工程师,西安,统计分析,1,3.7%
数据开发工程师,西安,阿里云,1,3.7%
数据开发工程师,重庆,FineReport,1,5.3%
数据开发工程师,重庆,Flink SQL,1,5.3%
数据开发工程师,重庆,LangChain,1,5.3%
数据开发工程师,重庆,MongoDB,1,5.3%
数据开发工程师,重庆,NLP,1,5.3%
数据开发工程师,重庆,Neo4j,1,5.3%
数据开发工程师,重庆,NumPy,1,5.3%
数据开发工程师,重庆,Pandas,1,5.3%
数据开发工程师,重庆,Power BI,1,5.3%
数据开发工程师,重庆,PySpark,1,5.3%
数据开发工程师,重庆,RAG,1,5.3%
数据开发工程师,重庆,Redis,1,5.3%
数据开发工程师,重庆,StarRocks,1,5.3%
数据开发工程师,重庆,Tableau,1,5.3%
数据开发工程师,重庆,scikit-learn,1,5.3%
数据开发工程师,重庆,推荐算法,1,5.3%
数据开发工程师,重庆,数据可视化,1,5.3%
数据开发工程师,重庆,数据湖,1,5.3%
数据开发工程师,重庆,机器学习,1,5.3%
数据开发工程师,重庆,达梦数据库,1,5.3%
机器学习工程师,上海,A,1,7.7%
机器学习工程师,上海,AWS,1,7.7%
机器学习工程师,上海,B测试,1,7.7%
机器学习工程师,上海,Git,1,7.7%
机器学习工程师,上海,GitLab CI,1,7.7%
机器学习工程师,上海,Hadoop,1,7.7%
机器学习工程师,上海,Jenkins,1,7.7%
机器学习工程师,上海,Linux,1,7.7%
机器学习工程师,上海,MATLAB,1,7.7%
机器学习工程师,上海,NumPy,1,7.7%
机器学习工程师,上海,R,1,7.7%
机器学习工程师,上海,Spark,1,7.7%
机器学习工程师,上海,Transformers,1,7.7%
机器学习工程师,上海,数据挖掘,1,7.7%
机器学习工程师,上海,计算机视觉,1,7.7%
机器学习工程师,上海,阿里云,1,7.7%
机器学习工程师,北京,Git,1,6.2%
机器学习工程师,北京,MATLAB,1,6.2%
机器学习工程师,北京,NLP,1,6.2%
机器学习工程师,北京,Pandas,1,6.2%
机器学习工程师,北京,R,1,6.2%
机器学习工程师,北京,数据挖掘,1,6.2%
机器学习工程师,北京,统计分析,1,6.2%
机器学习工程师,北京,腾讯云,1,6.2%
机器学习工程师,南京,C++,1,50.0%
机器学习工程师,南京,Docker,1,50.0%
机器学习工程师,南京,FastAPI,1,50.0%
机器学习工程师,南京,Flask,1,50.0%
机器学习工程师,南京,Linux,1,50.0%
机器学习工程师,南京,MATLAB,1,50.0%
机器学习工程师,南京,NumPy,1,50.0%
机器学习工程师,南京,Pandas,1,50.0%
机器学习工程师,南京,PyTorch,1,50.0%
机器学习工程师,南京,TensorFlow,1,50.0%
机器学习工程师,南京,scikit-learn,1,50.0%
机器学习工程师,南京,深度学习,1,50.0%
机器学习工程师,广州,FastAPI,1,16.7%
机器学习工程师,广州,Flask,1,16.7%
机器学习工程师,广州,MongoDB,1,16.7%
机器学习工程师,广州,SQL,1,16.7%
机器学习工程师,广州,计算机视觉,1,16.7%
机器学习工程师,成都,Java,1,20.0%
机器学习工程师,成都,R,1,20.0%
机器学习工程师,成都,TensorFlow,1,20.0%
机器学习工程师,成都,大语言模型,1,20.0%
机器学习工程师,杭州,C++,1,12.5%
机器学习工程师,杭州,FineBI,1,12.5%
机器学习工程师,杭州,MATLAB,1,12.5%
机器学习工程师,杭州,Matplotlib,1,12.5%
机器学习工程师,杭州,Power BI,1,12.5%
机器学习工程师,杭州,R,1,12.5%
机器学习工程师,杭州,Seaborn,1,12.5%
机器学习工程师,杭州,Tableau,1,12.5%
机器学习工程师,杭州,scikit-learn,1,12.5%
机器学习工程师,杭州,大语言模型,1,12.5%
机器学习工程师,杭州,数据仓库,1,12.5%
机器学习工程师,杭州,数据可视化,1,12.5%
机器学习工程师,杭州,统计分析,1,12.5%
机器学习工程师,武汉,MATLAB,1,33.3%
机器学习工程师,武汉,PyTorch,1,33.3%
机器学习工程师,武汉,RAG,1,33.3%
机器学习工程师,武汉,TensorFlow,1,33.3%
机器学习工程师,武汉,大语言模型,1,33.3%
机器学习工程师,武汉,计算机视觉,1,33.3%
机器学习工程师,深圳,C++,1,10.0%
机器学习工程师,深圳,NumPy,1,10.0%
机器学习工程师,深圳,RAG,1,10.0%
机器学习工程师,西安,Java,1,25.0%
机器学习工程师,西安,Linux,1,25.0%
机器学习工程师,西安,NLP,1,25.0%
机器学习工程师,西安,NumPy,1,25.0%
机器学习工程师,西安,Pandas,1,25.0%
机器学习工程师,西安,PyTorch,1,25.0%
机器学习工程师,西安,TensorFlow,1,25.0%
机器学习工程师,西安,大语言模型,1,25.0%
机器学习工程师,重庆,Python,1,100.0%
算法工程师,上海,AWS,1,0.1%
算法工程师,上海,ClickHouse,1,0.1%
算法工程师,上海,Elasticsearch,1,0.1%
算法工程师,上海,Hive SQL,1,0.1%
算法工程师,上海,Jenkins,1,0.1%
算法工程师,上海,Kafka,1,0.1%
算法工程师,上海,Matplotlib,1,0.1%
算法工程师,上海,MongoDB,1,0.1%
算法工程师,上海,Neo4j,1,0.1%
算法工程师,上海,Spring Boot,1,0.1%
算法工程师,上海,Transformers,1,0.1%
算法工程师,上海,Vue,1,0.1%
算法工程师,上海,华为云,1,0.1%
算法工程师,上海,数据建模,1,0.1%
算法工程师,上海,数据治理,1,0.1%
算法工程师,上海,阿里云,1,0.1%
算法工程师,北京,Matplotlib,1,0.2%
算法工程师,北京,Oracle,1,0.2%
算法工程师,北京,SQL Server,1,0.2%
算法工程师,北京,Seaborn,1,0.2%
算法工程师,北京,Spring Boot,1,0.2%
算法工程师,北京,华为云,1,0.2%
算法工程师,北京,数据湖,1,0.2%
算法工程师,南京,Elasticsearch,1,0.4%
算法工程师,南京,FastAPI,1,0.4%
算法工程师,南京,Hive,1,0.4%
算法工程师,南京,Kafka,1,0.4%
算法工程师,南京,Kubernetes,1,0.4%
算法工程师,南京,React,1,0.4%
算法工程师,南京,SQL,1,0.4%
算法工程师,南京,推荐算法,1,0.4%
算法工程师,南京,数据可视化,1,0.4%
算法工程师,南京,数据湖,1,0.4%
算法工程师,南宁,C++,1,100.0%
算法工程师,南宁,PyTorch,1,100.0%
算法工程师,南宁,Python,1,100.0%
算法工程师,南宁,TensorFlow,1,100.0%
算法工程师,南宁,深度学习,1,100.0%
算法工程师,广州,Excel,1,0.3%
算法工程师,广州,HBase,1,0.3%
算法工程师,广州,Hive,1,0.3%
算法工程师,广州,Kafka,1,0.3%
算法工程师,广州,Neo4j,1,0.3%
算法工程师,广州,PostgreSQL,1,0.3%
算法工程师,广州,React,1,0.3%
算法工程师,广州,Scala,1,0.3%
算法工程师,广州,Seaborn,1,0.3%
算法工程师,广州,Transformers,1,0.3%
算法工程师,广州,TypeScript,1,0.3%
算法工程师,广州,Vue,1,0.3%
算法工程师,广州,数据仓库,1,0.3%
算法工程师,广州,数据可视化,1,0.3%
算法工程师,成都,AWS,1,0.4%
算法工程师,成都,CSS,1,0.4%
算法工程师,成都,ClickHouse,1,0.4%
算法工程师,成都,ERP,1,0.4%
算法工程师,成都,Flask,1,0.4%
算法工程师,成都,HBase,1,0.4%
算法工程师,成都,HTML,1,0.4%
算法工程师,成都,Hadoop,1,0.4%
算法工程师,成都,Hive,1,0.4%
算法工程师,成都,IP,1,0.4%
算法工程师,成都,JavaScript,1,0.4%
算法工程师,成都,Kubernetes,1,0.4%
算法工程师,成都,Oracle,1,0.4%
算法工程师,成都,PostgreSQL,1,0.4%
算法工程师,成都,TCP,1,0.4%
算法工程师,成都,Tableau,1,0.4%
算法工程师,成都,推荐算法,1,0.4%
算法工程师,成都,数据仓库,1,0.4%
算法工程师,成都,数据建模,1,0.4%
算法工程师,杭州,CSS,1,0.3%
算法工程师,杭州,ECharts,1,0.3%
算法工程师,杭州,ETL,1,0.3%
算法工程师,杭州,Flink,1,0.3%
算法工程师,杭州,HTML,1,0.3%
算法工程师,杭州,IP,1,0.3%
算法工程师,杭州,Matplotlib,1,0.3%
算法工程师,杭州,Neo4j,1,0.3%
算法工程师,杭州,Scala,1,0.3%
算法工程师,杭州,Seaborn,1,0.3%
算法工程师,杭州,TCP,1,0.3%
算法工程师,杭州,Vue,1,0.3%
算法工程师,杭州,华为云,1,0.3%
算法工程师,杭州,数据仓库,1,0.3%
算法工程师,杭州,阿里云,1,0.3%
算法工程师,武汉,A,1,0.4%
算法工程师,武汉,Azure,1,0.4%
算法工程师,武汉,B测试,1,0.4%
算法工程师,武汉,ClickHouse,1,0.4%
算法工程师,武汉,Django,1,0.4%
算法工程师,武汉,ERP,1,0.4%
算法工程师,武汉,Excel,1,0.4%
算法工程师,武汉,FastAPI,1,0.4%
算法工程师,武汉,Flink,1,0.4%
算法工程师,武汉,Matplotlib,1,0.4%
算法工程师,武汉,Redis,1,0.4%
算法工程师,武汉,Transformers,1,0.4%
算法工程师,武汉,Vue,1,0.4%
算法工程师,武汉,华为云,1,0.4%
算法工程师,武汉,数据仓库,1,0.4%
算法工程师,深圳,AWS,1,0.2%
算法工程师,深圳,Azure,1,0.2%
算法工程师,深圳,Elasticsearch,1,0.2%
算法工程师,深圳,Excel,1,0.2%
算法工程师,深圳,Flask,1,0.2%
算法工程师,深圳,IP,1,0.2%
算法工程师,深圳,Kafka,1,0.2%
算法工程师,深圳,Matplotlib,1,0.2%
算法工程师,深圳,MongoDB,1,0.2%
算法工程师,深圳,Node.js,1,0.2%
算法工程师,深圳,Oracle,1,0.2%
算法工程师,深圳,PySpark,1,0.2%
算法工程师,深圳,SPSS,1,0.2%
算法工程师,深圳,Seaborn,1,0.2%
算法工程师,深圳,Spark SQL,1,0.2%
算法工程师,深圳,TCP,1,0.2%
算法工程师,深圳,Tableau,1,0.2%
算法工程师,深圳,Transformers,1,0.2%
算法工程师,深圳,TypeScript,1,0.2%
算法工程师,西安,ERP,1,0.6%
算法工程师,西安,Elasticsearch,1,0.6%
算法工程师,西安,Flask,1,0.6%
算法工程师,西安,Hive,1,0.6%
算法工程师,西安,MySQL,1,0.6%
算法工程师,西安,PostgreSQL,1,0.6%
算法工程师,西安,React,1,0.6%
算法工程师,西安,Redis,1,0.6%
算法工程师,重庆,CSS,1,0.8%
算法工程师,重庆,ClickHouse,1,0.8%
算法工程师,重庆,Django,1,0.8%
算法工程师,重庆,Flink,1,0.8%
算法工程师,重庆,HTML,1,0.8%
算法工程师,重庆,IP,1,0.8%
算法工程师,重庆,JavaScript,1,0.8%
算法工程师,重庆,Jenkins,1,0.8%
算法工程师,重庆,Kafka,1,0.8%
算法工程师,重庆,Kubernetes,1,0.8%
算法工程师,重庆,Matplotlib,1,0.8%
算法工程师,重庆,Neo4j,1,0.8%
算法工程师,重庆,Node.js,1,0.8%
算法工程师,重庆,Oracle,1,0.8%
算法工程师,重庆,PostgreSQL,1,0.8%
算法工程师,重庆,R,1,0.8%
算法工程师,重庆,Spark,1,0.8%
算法工程师,重庆,TCP,1,0.8%
算法工程师,重庆,Vue,1,0.8%
算法工程师,重庆,数据治理,1,0.8%
算法工程师,重庆,统计分析,1,0.8%
算法工程师,镇江,MATLAB,1,50.0%
