数据源,搜索岗位,搜索城市,城市编码,采集状态代码,采集状态说明,有效岗位数,API原始返回数,重复过滤数,标题不相关过滤数,官网报告总数,最后尝试页,最后成功页,停止原因,输出CSV,原始JSONL,运行日志
zhaopin,数据分析师,北京,530,success,采集完成,96,99,2,1,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_北京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_北京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_北京_20260629_085448_zhaopin_run_log.txt
zhaopin,数据分析师,上海,538,success,采集完成,64,100,1,35,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_上海_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_上海_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_上海_20260629_085448_zhaopin_run_log.txt
zhaopin,数据分析师,广州,763,success,采集完成,65,100,0,35,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_广州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_广州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_广州_20260629_085448_zhaopin_run_log.txt
zhaopin,数据分析师,深圳,765,success,采集完成,64,100,3,33,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_深圳_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_深圳_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_深圳_20260629_085448_zhaopin_run_log.txt
zhaopin,数据分析师,杭州,653,success,采集完成,57,100,1,42,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_杭州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_杭州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_杭州_20260629_085448_zhaopin_run_log.txt
zhaopin,数据分析师,南京,635,success,采集完成,37,100,2,61,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_南京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_南京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_南京_20260629_085448_zhaopin_run_log.txt
zhaopin,数据分析师,武汉,736,success,采集完成,39,100,1,60,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_武汉_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_武汉_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_武汉_20260629_085448_zhaopin_run_log.txt
zhaopin,数据分析师,成都,801,success,采集完成,64,100,2,34,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_成都_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_成都_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_成都_20260629_085448_zhaopin_run_log.txt
zhaopin,数据分析师,重庆,551,success,采集完成,23,66,0,43,66,4,4,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_重庆_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_重庆_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_重庆_20260629_085448_zhaopin_run_log.txt
zhaopin,数据分析师,西安,854,success,采集完成,43,93,1,49,93,5,5,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_西安_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_西安_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据分析师\数据分析师_西安_20260629_085448_zhaopin_run_log.txt
zhaopin,BI分析师,北京,530,success,采集完成,4,6,0,2,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_北京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_北京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_北京_20260629_085448_zhaopin_run_log.txt
zhaopin,BI分析师,上海,538,success,采集完成,2,4,0,2,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_上海_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_上海_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_上海_20260629_085448_zhaopin_run_log.txt
zhaopin,BI分析师,广州,763,success,采集完成,1,1,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_广州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_广州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_广州_20260629_085448_zhaopin_run_log.txt
zhaopin,BI分析师,深圳,765,success,采集完成,1,3,0,2,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_深圳_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_深圳_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_深圳_20260629_085448_zhaopin_run_log.txt
zhaopin,BI分析师,杭州,653,success,采集完成,0,1,0,1,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_杭州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_杭州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_杭州_20260629_085448_zhaopin_run_log.txt
zhaopin,BI分析师,南京,635,success,采集完成,0,0,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_南京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_南京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_南京_20260629_085448_zhaopin_run_log.txt
zhaopin,BI分析师,武汉,736,success,采集完成,0,0,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_武汉_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_武汉_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_武汉_20260629_085448_zhaopin_run_log.txt
zhaopin,BI分析师,成都,801,success,采集完成,1,1,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_成都_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_成都_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_成都_20260629_085448_zhaopin_run_log.txt
zhaopin,BI分析师,重庆,551,success,采集完成,0,0,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_重庆_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_重庆_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_重庆_20260629_085448_zhaopin_run_log.txt
zhaopin,BI分析师,西安,854,success,采集完成,0,1,0,1,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_西安_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_西安_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\BI分析师\BI分析师_西安_20260629_085448_zhaopin_run_log.txt
zhaopin,数据开发工程师,北京,530,success,采集完成,49,100,0,51,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_北京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_北京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_北京_20260629_085448_zhaopin_run_log.txt
zhaopin,数据开发工程师,上海,538,success,采集完成,52,100,1,47,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_上海_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_上海_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_上海_20260629_085448_zhaopin_run_log.txt
zhaopin,数据开发工程师,广州,763,success,采集完成,37,86,1,48,86,5,5,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_广州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_广州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_广州_20260629_085448_zhaopin_run_log.txt
zhaopin,数据开发工程师,深圳,765,success,采集完成,45,100,3,52,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_深圳_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_深圳_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_深圳_20260629_085448_zhaopin_run_log.txt
zhaopin,数据开发工程师,杭州,653,success,采集完成,24,48,3,21,48,3,3,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_杭州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_杭州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_杭州_20260629_085448_zhaopin_run_log.txt
zhaopin,数据开发工程师,南京,635,success,采集完成,33,70,0,37,70,4,4,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_南京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_南京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_南京_20260629_085448_zhaopin_run_log.txt
zhaopin,数据开发工程师,武汉,736,success,采集完成,25,70,3,42,70,4,4,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_武汉_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_武汉_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_武汉_20260629_085448_zhaopin_run_log.txt
zhaopin,数据开发工程师,成都,801,success,采集完成,28,65,0,37,65,4,4,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_成都_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_成都_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_成都_20260629_085448_zhaopin_run_log.txt
zhaopin,数据开发工程师,重庆,551,success,采集完成,20,37,1,16,37,2,2,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_重庆_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_重庆_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_重庆_20260629_085448_zhaopin_run_log.txt
zhaopin,数据开发工程师,西安,854,success,采集完成,25,68,0,43,68,4,4,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_西安_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_西安_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据开发工程师\数据开发工程师_西安_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,北京,530,success,采集完成,51,100,0,49,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_北京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_北京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_北京_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,上海,538,success,采集完成,19,100,0,81,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_上海_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_上海_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_上海_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,广州,763,success,采集完成,21,100,0,79,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_广州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_广州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_广州_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,深圳,765,success,采集完成,30,96,2,64,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_深圳_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_深圳_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_深圳_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,杭州,653,success,采集完成,7,100,0,93,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_杭州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_杭州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_杭州_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,南京,635,success,采集完成,20,100,0,80,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_南京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_南京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_南京_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,武汉,736,success,采集完成,14,100,0,86,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_武汉_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_武汉_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_武汉_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,成都,801,success,采集完成,12,99,0,87,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_成都_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_成都_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_成都_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,重庆,551,success,采集完成,7,100,0,93,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_重庆_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_重庆_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_重庆_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,西安,854,success,采集完成,22,99,1,76,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_西安_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_西安_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_西安_20260629_085448_zhaopin_run_log.txt
